feature,importance
f208,0.1985525987713174
f238,0.19854967877919308
f562,0.19852022262377175
f308,0.19851306240747763
f270,0.1985119592904433
f387,0.19846209689272395
f481,0.19845523393771067
f426,0.19844618116967927
f291,0.1984457314485196
f563,0.1984297986658976
f431,0.19842564802302132
f331,0.19839254389229308
f376,0.19837752872038736
f403,0.19837080547969999
f278,0.19831826432177388
f566,0.19830758819437916
f436,0.1982981300677286
f565,0.19828487211837298
f446,0.1982817925072816
f183,0.19827318383691264
f585,0.19824453233571782
f253,0.198176985828669
f313,0.19817422977020294
f448,0.19817400780154867
f250,0.19816104485030087
f312,0.1981500388663785
f558,0.19813518842621977
f409,0.19812428758192302
f280,0.19811256456970233
f338,0.19804141230594266
f488,0.1980260989875831
f289,0.1980048359859161
f274,0.19786636897561558
f449,0.19786547349799033
f306,0.1978595947437897
f422,0.1978519327335683
f675,0.19783500259139278
f220,0.1977822813826134
f300,0.19777941765808146
f311,0.1977523580273834
f609,0.19774996317872195
f326,0.19774419667338156
f159,0.1977409744277226
f458,0.19772300796687328
f716,0.197686520170071
f257,0.1976731956860385
f364,0.19767187874707307
f455,0.19764227694371483
f344,0.19763773351668862
f244,0.1976189950950831
f351,0.19761373847866928
f386,0.19760292825143605
f321,0.197591488542044
f137,0.19756732467615293
f378,0.19756694487044021
f421,0.1975430002469217
f602,0.19751595868438704
f368,0.197490200671734
f593,0.19748025423309895
f261,0.19747045097166044
f350,0.19745052910359645
f411,0.19744243855196175
f533,0.1974421901186167
f309,0.19743616161213928
f401,0.19742746351466542
f589,0.19738874154824448
f555,0.1973754030658814
f416,0.1973656641977325
f343,0.1973246091248267
f560,0.1973130415052881
f556,0.19730484795000144
f495,0.19729557600249817
f334,0.19728958160944027
f398,0.19727924685537693
f691,0.19722975396032802
f322,0.19721809847214797
f200,0.19720524896609423
f552,0.19719884085330952
f529,0.19717308279317453
f254,0.19714406056290817
f462,0.1971205023246046
f336,0.19710775636601374
f493,0.1970891655459377
f383,0.19706528565975068
f342,0.19706082700256836
f354,0.19704888949097535
f579,0.19703851679121315
f456,0.19702322162061486
f404,0.19701132410208144
f357,0.1969888371683315
f703,0.19698627614838496
f567,0.19696147409233586
